objid,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,redshift,redshift_err,class
1237646549575401765,20.94433,20.27348,19.87477,19.6673,19.82965,0.3802286,0.2962715,0.2049593,0.1523067,0.1132882,0.169056,7.193937e-06,GALAXY
1237646549576712337,19.8441,18.61294,17.88917,17.43708,17.17084,0.5710979,0.4449956,0.3078459,0.2287625,0.1701573,0.109002,2.238396e-05,GALAXY
1237646585565151273,21.52511,18.68376,16.84261,15.82592,15.11223,3.276496,2.553023,1.76617,1.312453,0.9762242,0.5393306,0.0001498328,GALAXY
1237646585565282459,24.59196,20.5863,18.61079,17.48596,16.67815,6.394471,4.982529,3.44689,2.561409,1.905218,0.7574083,6.68375e-05,GALAXY
1237646586102415745,21.91005,20.49937,19.47652,18.62923,18.12119,3.279056,2.555018,1.76755,1.313479,0.9769868,0.1075606,6.443121e-06,GALAXY
1237646586103923302,22.40849,20.88455,20.084,19.62136,19.31622,2.413222,1.880366,1.300829,0.9666551,0.7190138,0.593474,0.0003827008,GALAXY
1237646586632536421,21.20502,20.25508,19.91791,19.81835,19.59267,0.3422064,0.2666449,0.1844637,0.1370763,0.1019596,0.1671055,2.967194e-05,GALAXY
1237646586633126173,20.98464,20.04749,19.75498,19.5947,19.61239,0.2964598,0.2309995,0.1598044,0.1187518,0.0883295,0.6883767,0.0002563416,GALAXY
1237646586638631776,22.11305,20.26253,19.00913,18.3105,17.8396,1.929789,1.503679,1.040238,0.7730083,0.5749761,0.1212948,1.293675e-05,GALAXY
1237646586639024712,23.98177,21.70249,20.11795,19.31438,18.80984,3.560712,2.774482,1.919374,1.426301,1.060906,0.5883247,0.0004003379,GALAXY
1237646586639089979,18.29707,19.05436,17.86311,18.62256,17.6707,2.837904,2.211276,1.52975,1.136768,0.8455469,0.1815861,4.068862e-05,GALAXY
1237646586639286761,23.1916,20.76321,19.18958,18.21423,17.24916,2.811127,2.190411,1.515316,1.126042,0.8375686,0.1195249,3.107103e-05,GALAXY
1237646586639286849,22.70795,20.00511,18.19209,17.15922,16.3289,2.748647,2.141727,1.481637,1.101015,0.8189529,0.1095455,4.346742e-05,GALAXY
1237646586639287212,23.48819,21.99708,20.00359,19.14794,18.44995,2.660612,2.073131,1.434183,1.065751,0.7927232,0.2785011,3.751783e-05,GALAXY
1237646586639942229,21.0476,19.23825,18.17137,17.65735,17.28868,2.973723,2.317105,1.602963,1.191173,0.8860139,0.5697345,0.000283708,GALAXY
1237646586640401807,23.54506,20.74011,19.09349,18.12006,17.51442,2.590491,2.018493,1.396384,1.037663,0.7718307,0.126261,2.058951e-05,GALAXY
1237646587169866225,20.5505,20.06533,19.91228,19.8725,20.05539,0.4088377,0.3185636,0.2203808,0.1637665,0.1218122,0.1210211,6.14173e-05,GALAXY
1237646587173340066,19.87214,18.55198,17.71604,17.35203,17.03208,0.6277888,0.4891688,0.3384047,0.251471,0.1870482,0.1530028,3.029159e-05,GALAXY
1237646587173405681,21.22515,19.90416,18.85051,18.31613,17.99262,0.6244707,0.4865833,0.3366161,0.2501418,0.1860595,0.2365103,1.512913e-05,GALAXY
1237646587173536762,24.18116,19.62364,18.34657,17.67647,17.35222,0.4456039,0.3472116,0.2401994,0.1784939,0.1327666,0.1785832,1.489411e-05,GALAXY
1237646587174061434,24.34468,21.16326,19.85005,19.35391,19.29846,0.5888638,0.4588387,0.3174224,0.2358789,0.1754506,0.1795987,9.669847e-05,GALAXY
1237646587175305670,19.38519,17.68079,16.73539,16.20056,15.80572,1.44433,1.125412,0.778555,0.5785498,0.4303347,0.05318839,1.385252e-05,GALAXY
1237646587175306089,19.56291,18.14799,17.32569,16.7966,16.46201,1.327319,1.034238,0.7154811,0.5316792,0.3954716,0.05301767,8.800655e-06,GALAXY
1237646587175371367,21.87141,20.50587,19.67873,19.07804,18.74881,1.362396,1.06157,0.7343892,0.5457299,0.4059228,0.1248497,1.864344e-05,GALAXY
1237646587175371616,20.70156,18.46799,17.20432,16.53852,16.02169,1.087147,0.8470973,0.586018,0.4354742,0.3239128,0.1218914,2.145067e-05,GALAXY
1237646587175372001,22.85558,20.77907,19.36982,18.63065,18.13894,1.270461,0.989935,0.6848324,0.5089039,0.378531,0.1484322,2.368174e-05,GALAXY
1237646587175372327,21.87808,20.57286,19.53914,18.81359,18.43018,1.105544,0.8614321,0.5959347,0.4428434,0.3293941,0.1498839,1.370329e-05,GALAXY
1237646587175437486,21.16541,18.77294,17.69212,17.09892,16.69278,1.095077,0.8532766,0.5902928,0.4386508,0.3262756,0.1147904,3.917236e-05,GALAXY
1237646587175502059,22.7841,20.02155,18.50308,17.76822,17.09423,1.08826,0.8479651,0.5866183,0.4359203,0.3242446,0.1210648,3.768887e-05,GALAXY
1237646587175568426,22.22061,19.78261,18.3945,17.73774,17.15811,1.158842,0.9029618,0.6246648,0.4641929,0.3452742,0.1206641,3.497345e-05,GALAXY
1237646587175568755,23.04652,21.15069,19.68755,18.93389,18.31089,1.156332,0.9010057,0.6233116,0.4631873,0.3445263,0.3454711,5.797973e-05,GALAXY
1237646587175960918,23.42741,21.93971,19.84808,18.6743,17.80898,4.725443,3.682033,2.547214,1.892853,1.407935,0.7065571,7.482735e-05,GALAXY
1237646587176092415,23.68816,22.0488,20.28623,19.24136,18.36084,2.837347,2.210841,1.52945,1.136545,0.8453808,0.7364672,0.0001668502,GALAXY
1237646587176092705,23.64798,20.89486,19.45195,18.54161,17.88617,2.976576,2.319328,1.6045,1.192316,0.8868638,0.1193381,3.638846e-05,GALAXY
1237646587176092804,22.93546,21.99896,20.63778,19.50391,18.9636,2.907402,2.265428,1.567212,1.164607,0.8662534,0.2174197,1.816432e-05,GALAXY
1237646587176223740,24.27649,21.11861,19.6293,18.73325,18.0932,2.679287,2.087682,1.444249,1.073232,0.7982873,0.1500245,2.293432e-05,GALAXY
1237646587177140916,21.13619,19.22273,18.08179,17.50184,17.09354,3.121371,2.432151,1.682551,1.250315,0.930005,0.552613,6.072749e-05,GALAXY
1237646587177599561,20.84674,19.07255,18.03511,17.53826,17.19738,2.874379,2.239697,1.549412,1.151379,0.8564146,0.5880927,0.0003704101,GALAXY
1237646587694612608,21.14136,19.32786,18.33477,17.83533,17.46506,0.3921293,0.3055445,0.2113743,0.1570737,0.116834,0.1334663,2.93678e-05,GALAXY
1237646587694612678,20.44219,19.3609,18.37283,17.83961,17.52481,0.3925582,0.3058786,0.2116054,0.1572455,0.1169618,0.1811873,3.439288e-05,GALAXY
1237646587694613089,20.60803,19.51196,18.78702,18.42841,18.38127,0.3990445,0.3109328,0.2151019,0.1598437,0.1188944,0.1687725,1.077707e-05,GALAXY
1237646587698872608,21.22966,19.23993,18.00378,17.44401,17.1568,0.3843032,0.2994464,0.2071557,0.1539388,0.1145022,0.2954184,9.118999e-05,GALAXY
1237646587698938097,21.62071,20.00359,19.07158,18.68014,18.37766,0.3911048,0.3047463,0.210822,0.1566634,0.1165288,0.1300828,4.326654e-05,GALAXY
1237646587699134832,22.47534,20.82291,19.46522,18.92058,18.4691,0.551623,0.4298209,0.2973481,0.2209615,0.1643548,0.2674835,4.283396e-05,GALAXY
1237646587699331397,22.20453,21.47315,20.31594,19.97563,19.34771,0.6189092,0.4822499,0.3336182,0.2479141,0.1844025,0.3563891,3.760642e-05,GALAXY
1237646587699331830,23.18983,23.87988,20.92018,20.10167,19.86771,0.6350117,0.4947968,0.3422981,0.2543642,0.1892002,0.5276468,0.0002034871,GALAXY
1237646587699397011,20.39057,19.02732,18.19125,17.71696,17.51127,0.5547293,0.4322413,0.2990225,0.2222058,0.1652803,0.1689568,1.097204e-05,GALAXY
1237646587699397069,24.11062,22.43961,20.18361,19.40679,18.94861,0.5941252,0.4629383,0.3202586,0.2379864,0.1770182,0.3940807,0.0001198363,GALAXY
1237646587699659090,23.69628,21.51569,19.75602,19.10203,18.59579,0.9297307,0.7244399,0.5011641,0.3724187,0.2770111,0.3097489,9.271919e-05,GALAXY
1237646587699921530,22.63209,20.3296,19.0881,18.51193,18.13868,0.7941661,0.6188089,0.4280891,0.3181161,0.2366199,0.1825923,4.021278e-05,GALAXY
1237646587709817452,21.43032,19.76425,18.58002,18.0033,17.60104,0.6642743,0.517598,0.3580719,0.2660858,0.197919,0.2199219,4.986681e-05,GALAXY
1237646587709817716,21.40663,19.46663,18.52785,17.93651,17.54223,0.6912655,0.5386294,0.3726213,0.2768976,0.2059609,0.08010395,1.149809e-05,GALAXY
1237646587709882563,21.32341,19.07353,18.17636,17.66821,17.01774,0.6743829,0.5254746,0.3635209,0.270135,0.2009308,0.08767803,1.660636e-05,GALAXY
1237646587709883085,19.92504,17.8653,16.82966,16.32582,15.92543,0.6604589,0.5146251,0.3560153,0.2645575,0.1967822,0.08794557,1.767415e-05,GALAXY
1237646587709883614,20.73607,19.26333,18.39861,17.92963,17.78043,0.6795308,0.5294858,0.3662958,0.2721971,0.2024646,0.1839998,3.20582e-05,GALAXY
1237646587709883771,22.82499,21.87175,20.08639,19.31215,18.6167,0.6726921,0.5241571,0.3626095,0.2694577,0.200427,0.5191099,0.000124896,GALAXY
1237646587709948032,21.01447,19.69433,18.88922,18.44099,18.32131,0.652037,0.5080628,0.3514755,0.261184,0.1942729,0.1808923,2.749404e-05,GALAXY
1237646587709948506,21.7799,20.16786,19.14417,18.52328,18.06801,0.6056542,0.4719217,0.3264732,0.2426046,0.1804533,0.140993,1.841231e-05,GALAXY
1237646587709948667,22.13451,19.74066,18.38218,17.7973,17.3659,0.6665739,0.5193899,0.3593115,0.267007,0.1986041,0.1820579,3.846718e-05,GALAXY
1237646587709948786,21.07347,19.83269,19.12033,18.64095,18.4577,0.6535658,0.509254,0.3522996,0.2617964,0.1947284,0.1389496,1.38316e-05,GALAXY
1237646587709948800,20.56003,18.98596,18.12127,17.62518,17.21574,0.6203971,0.4834092,0.3344202,0.2485101,0.1848458,0.06487791,2.338277e-05,GALAXY
1237646587709948834,21.08992,19.79556,18.71872,18.18577,17.79903,0.6311892,0.4918184,0.3402377,0.2528331,0.1880613,0.2420604,2.859702e-05,GALAXY
1237646587709949189,22.6507,20.9375,19.91319,19.31548,18.80453,0.6389648,0.4978771,0.344429,0.2559477,0.1903781,0.2720776,3.057473e-05,GALAXY
1237646587710013714,21.20142,19.92172,18.62429,18.10344,17.67563,0.5744702,0.4476233,0.3096637,0.2301133,0.171162,0.3659964,6.417333e-05,GALAXY
1237646587710210687,19.94651,18.63432,17.96568,17.5342,17.32531,0.4805241,0.3744211,0.2590228,0.1924817,0.143171,0.08550129,1.386173e-05,GALAXY
1237646587710211004,20.07236,18.80232,17.9873,17.60498,17.34093,0.4830375,0.3763795,0.2603776,0.1934885,0.1439199,0.1317314,2.207329e-05,GALAXY
1237646587710342086,20.31351,19.10495,18.30852,17.83919,17.53372,0.5217191,0.40652,0.2812286,0.208983,0.155445,0.1535052,2.002763e-05,GALAXY
1237646587710342182,21.10835,19.81596,18.8869,18.3893,18.04565,0.5246655,0.4088158,0.2828169,0.2101633,0.1563229,0.2543027,1.378071e-05,GALAXY
